Object Index,Object Id,Position,Size,Frame No
1,1,"(np.float64(26.176312247644685), np.float64(25.90578734858681))",743.0,0
2,2,"(np.float64(255.60405338606031), np.float64(255.80004943153733))",8092.0,0
3,3,"(np.float64(183.0645300996102), np.float64(192.15244694673018))",4618.0,0
4,4,"(np.float64(183.09718004338396), np.float64(322.2986984815618))",4610.0,0
5,5,"(np.float64(325.59529969814577), np.float64(257.54010349288484))",4638.0,0
6,1,"(np.float64(26.176312247644685), np.float64(40.90578734858681))",743.0,1
7,2,"(np.float64(255.60405338606031), np.float64(270.80004943153733))",8092.0,1
8,3,"(np.float64(183.05393112410655), np.float64(207.1529131470652))",4617.0,1
9,4,"(np.float64(183.1073985680191), np.float64(337.30071599045345))",4609.0,1
10,5,"(np.float64(335.9933314004059), np.float64(270.690634966657))",3449.0,1
11,1,"(np.float64(41.17631224764468), np.float64(40.90578734858681))",743.0,2
12,2,"(np.float64(270.6040533860603), np.float64(270.80004943153733))",8092.0,2
13,3,"(np.float64(198.0645300996102), np.float64(207.15244694673018))",4618.0,2
14,4,"(np.float64(198.09718004338396), np.float64(337.2986984815618))",4610.0,2
15,5,"(np.float64(361.0477631294575), np.float64(272.2803112167711))",4627.0,2
